day,asia_kz,early_skip,early_bias,reason,scenario,target_direction,ensemble_mode,clusters,picked_clusters,potential_trades,executed_trades,detector_raw.cb_vp,detector_raw.mfvg_s,detector_raw.svwap_sh,detector_raw.iib_c,detector_raw.wtr,detector_accepted.cb_vp,detector_accepted.mfvg_s,detector_accepted.svwap_sh,detector_accepted.iib_c,detector_accepted.wtr,detector_cb_vp_raw,detector_cb_vp_acc,detector_cb_vp_avg_raw,detector_cb_vp_avg_acc,detector_mfvg_s_raw,detector_mfvg_s_acc,detector_mfvg_s_avg_raw,detector_mfvg_s_avg_acc,detector_svwap_sh_raw,detector_svwap_sh_acc,detector_svwap_sh_avg_raw,detector_svwap_sh_avg_acc,detector_iib_c_raw,detector_iib_c_acc,detector_iib_c_avg_raw,detector_iib_c_avg_acc,detector_wtr_raw,detector_wtr_acc,detector_wtr_avg_raw,detector_wtr_avg_acc,orientation_skips
2024-07-23,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-24,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-25,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-29,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-30,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-31,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-01,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-04,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-05,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-06,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-07,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-08,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-11,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-12,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-13,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-14,True,False,,no_target;no_entry_candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-15,True,False,,,single_side_low_in_kz,LONG,confluence,3.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,,5.0,5.0,0.1062666499772726,0.1062666499772726,2.0,2.0,0.36583386685272157,0.36583386685272157,0.0,0.0,,,1.0
